speed_index,env_index,replicate,command_vx,samples,mean_vx,bias_vx,mae_vx,rmse_vx,std_vx,completion,tracking_fraction,mean_abs_vy,mean_abs_yaw,mean_power_w,energy_j,distance_m,mechanical_cot,failure_time_s,survived,fell,timed_out,tracking_success
0,0,0,0.0,750,-0.0142437145,-0.0142437145,0.014354145,0.016402645,0.008134086,,1.0,0.011155345,0.059866425,7.3548117,110.322205,0.21531215,3.2467608,,True,False,False,True
0,1,1,0.0,750,-0.014207075,-0.014207075,0.014318069,0.01636572,0.008123778,,1.0,0.011087683,0.059824884,7.3529754,110.29451,0.214771,3.2541246,,True,False,False,True
0,2,2,0.0,750,-0.014215796,-0.014215796,0.01432699,0.016374156,0.008125523,,1.0,0.011142122,0.05984297,7.357579,110.36365,0.21490474,3.254138,,True,False,False,True
0,3,3,0.0,750,-0.014210547,-0.014210547,0.014316479,0.016360262,0.008106698,,1.0,0.011067395,0.059803493,7.3578587,110.36788,0.21474731,3.2566485,,True,False,False,True
0,4,4,0.0,750,-0.014262731,-0.014262731,0.014371419,0.0164157,0.008127096,,1.0,0.011117155,0.05984346,7.3513365,110.27014,0.21557137,3.241326,,True,False,False,True
0,5,5,0.0,750,-0.014207338,-0.014207338,0.0143184895,0.016365508,0.008122892,,1.0,0.011139285,0.059842993,7.3534107,110.30125,0.2147774,3.2542264,,True,False,False,True
0,6,6,0.0,750,-0.014283942,-0.014283942,0.014392589,0.016440708,0.008140387,,1.0,0.011215353,0.05985871,7.357965,110.36947,0.21588875,3.2394764,,True,False,False,True
0,7,7,0.0,750,-0.014244981,-0.014244981,0.014355941,0.016404254,0.008135113,,1.0,0.011123462,0.059857134,7.3503566,110.25534,0.21533929,3.2443843,,True,False,False,True
0,8,8,0.0,750,-0.014221554,-0.014221554,0.014331229,0.016379017,0.0081252465,,1.0,0.011128575,0.059857823,7.354571,110.318535,0.21496834,3.2518456,,True,False,False,True
0,9,9,0.0,750,-0.014241305,-0.014241305,0.014347076,0.01639488,0.008122641,,1.0,0.011081206,0.05981248,7.357463,110.36188,0.2152062,3.2495272,,True,False,False,True
0,10,10,0.0,750,-0.014247593,-0.014247593,0.014360375,0.016409084,0.008140282,,1.0,0.011127695,0.05986812,7.354584,110.31873,0.21540576,3.2452478,,True,False,False,True
0,11,11,0.0,750,-0.014237578,-0.014237578,0.014347326,0.016395872,0.008131174,,1.0,0.0111198975,0.059845056,7.355009,110.3251,0.21520983,3.2483897,,True,False,False,True
0,12,12,0.0,750,-0.014224592,-0.014224592,0.014333968,0.016381461,0.008124853,,1.0,0.011083961,0.059833206,7.3545737,110.318535,0.21500961,3.2512212,,True,False,False,True
0,13,13,0.0,750,-0.014235301,-0.014235301,0.014341562,0.016387103,0.008117474,,1.0,0.011106019,0.059818383,7.3548813,110.32329,0.21512337,3.249642,,True,False,False,True
0,14,14,0.0,750,-0.01422441,-0.01422441,0.014334166,0.016383125,0.008128527,,1.0,0.01111557,0.059850164,7.3543105,110.31472,0.21501252,3.2510648,,True,False,False,True
0,15,15,0.0,750,-0.014236094,-0.014236094,0.0143467225,0.016395034,0.0081320815,,1.0,0.011110986,0.059843995,7.350447,110.25666,0.21520084,3.2465103,,True,False,False,True
1,16,0,0.2,750,0.17673203,-0.023267949,0.023302248,0.025559971,0.0105788205,,1.0,0.0059903176,0.055032924,8.883979,133.25969,2.6509817,0.31852826,,True,False,False,True
1,17,1,0.2,750,0.17673881,-0.023261221,0.023296082,0.025555639,0.01058287,,1.0,0.0059925653,0.05503181,8.88314,133.2471,2.651082,0.31848612,,True,False,False,True
1,18,2,0.2,750,0.17674959,-0.023250366,0.023285711,0.025543995,0.010579965,,1.0,0.005991721,0.05502784,8.881677,133.22516,2.6512446,0.31841415,,True,False,False,True
