command_vx,num_rollouts,valid_rollouts,mean_vx,mean_vx_ci95,bias_vx,mae_vx,rmse_vx,std_vx,completion,tracking_fraction,mean_abs_vy,mean_abs_yaw,mean_power_w,mechanical_cot,success_rate,survival_rate,fall_rate,timeout_rate
0.0,16,16,0.031164407962933183,2.3075366036494858e-05,0.031164407962933183,0.031164407962933183,0.03181582712568343,0.006405182153685018,,1.0,0.017547643627040088,0.055279586696997285,7.671705275774002,1.5598761290311813,1.0,1.0,0.0,0.0
0.2,16,16,0.20664577186107635,6.113504242828676e-05,0.006645778223173693,0.010543389129452407,0.013551318959798664,0.011809846619144082,,1.0,0.015915467287413776,0.0459038654807955,9.71335655450821,0.2978506851941347,1.0,1.0,0.0,0.0
0.4,16,16,0.40504476986825466,0.00010162283754734639,0.0050447703106328845,0.016023817821405828,0.01938692736439407,0.018717658473178744,1.0126118957996368,1.0,0.015419194591231644,0.049747318495064974,13.322156846523285,0.20841427147388458,1.0,1.0,0.0,0.0
0.6,16,16,0.6003992594778538,0.00013259758487545008,0.0003993079899373697,0.022617470589466393,0.026113428524695337,0.02611242257989943,1.0006653741002083,1.0,0.021805901429615915,0.05120333470404148,18.18783664703369,0.1919538378715515,1.0,1.0,0.0,0.0
0.8,16,16,0.8014670051634312,0.0003086116763716886,0.0014670260316052008,0.029780527227558196,0.034314945340156555,0.03427762375213206,1.0018337294459343,1.0,0.04566911328583956,0.04841329320333898,25.834819078445435,0.20425658766180277,1.0,1.0,0.0,0.0
1.0,16,16,1.005051113665104,2.6613926819136454e-06,0.005051077256212011,0.03547747456468642,0.04144639917649329,0.041134162340313196,1.005051113665104,1.0,0.07550327572971582,0.04759140219539404,40.289472579956055,0.2540150210261345,1.0,1.0,0.0,0.0
1.2,16,16,1.1985155269503593,0.0001210096517110313,-0.0014845838159089908,0.041547555243596435,0.04781789961270988,0.04779499303549528,0.9987629018723965,1.0,0.06721180165186524,0.054857073817402124,57.412107706069946,0.3035398591309786,1.0,1.0,0.0,0.0
1.4,16,16,1.371408373117447,9.419802218946436e-05,-0.028591627022251487,0.05234684096649289,0.05921374983154237,0.05185401625931263,0.9795774295926094,1.0,0.04266760731115937,0.06550158141180873,83.46263074874878,0.3856391180306673,1.0,1.0,0.0,0.0
1.6,16,16,1.57673741877079,0.0007816791821935274,-0.02326274453662336,0.05221923650242388,0.059850065503269434,0.05512331402860582,0.9854608736932278,1.0,0.04658582876436412,0.06579471798613667,107.77463006973267,0.43312485702335835,1.0,1.0,0.0,0.0
1.8,16,16,1.7809230387210846,0.0004450071348218333,-0.019077254459261894,0.051575449062511325,0.058811150258407,0.05561070144176483,0.989401713013649,0.9999166652560234,0.02813383738975972,0.0693303239531815,142.83814811706543,0.5082239657640457,1.0,1.0,0.0,0.0
2.0,16,16,2.042261764407158,0.0008117561733285284,0.0422618726734072,0.055001311702653766,0.06950093759223819,0.0551608947571367,1.021130882203579,1.0,0.018535626120865345,0.07087720884010196,198.2895383834839,0.6152391247451305,1.0,1.0,0.0,0.0
2.2,16,16,2.2388719767332077,0.001737654455752838,0.038871999364346266,0.054148426512256265,0.06742774229496717,0.055009312462061644,1.0176690593361855,0.9124166704714298,0.017043451429344714,0.08974607987329364,252.2419490814209,0.7139090858399868,1.0,1.0,0.0,0.0
2.4,16,16,2.4426078647375107,0.002217184621356972,0.042607459239661694,0.05821999837644398,0.07055097818374634,0.056096504209563136,1.0177532210946083,0.8559166677296162,0.03161652642302215,0.11858280003070831,302.3465976715088,0.7843408696353436,1.0,1.0,0.0,0.0
2.6,16,16,2.6262164562940598,0.002185080380407734,0.02621665853075683,0.05463873711414635,0.0636612307280302,0.05785229918546975,1.010083295404911,0.696666669100523,0.03661185223609209,0.14866892341524363,351.3535270690918,0.847749300301075,0.0,1.0,0.0,0.0
2.8,16,16,2.784909248352051,0.0021571473059496587,-0.015090836677700281,0.054334358079358935,0.0649689172860235,0.06305249268189073,0.9946104697883129,0.6099999956786633,0.06662590801715851,0.179557747207582,396.3250427246094,0.9017699621617794,0.0,1.0,0.0,0.0
3.0,16,16,2.9204207956790924,0.0019087014041324877,-0.07957916613668203,0.0847680689767003,0.10297236731275916,0.06531826499849558,0.9734736010432243,0.5277499966323376,0.06197653082199395,0.21218105126172304,441.1184768676758,0.9571159482002258,0.0,1.0,0.0,0.0
