command_vx,num_rollouts,valid_rollouts,mean_vx,mean_vx_ci95,bias_vx,mae_vx,rmse_vx,std_vx,completion,tracking_fraction,mean_abs_vy,mean_abs_yaw,mean_power_w,mechanical_cot,success_rate,survival_rate,fall_rate,timeout_rate
0.0,16,16,0.01848721189890057,5.762424924088301e-06,0.01848721189890057,0.01848721189890057,0.021131751127541065,0.010235910769551992,,1.0,0.03693885076791048,0.07986181601881981,7.2794249057769775,2.4950631707906723,1.0,1.0,0.0,0.0
0.2,16,16,0.20798394083976746,2.8482634540727453e-05,0.007983980176504701,0.00863087153993547,0.011497039697133005,0.008273313811514527,,0.9997499957680702,0.04181733005680144,0.08545194892212749,8.99503380060196,0.27404941245913506,1.0,1.0,0.0,0.0
0.4,16,16,0.4153448287397623,2.658989536327625e-05,0.015344806772191077,0.016489964677020907,0.020276797702535987,0.013253694341983646,1.0383620411157608,1.0,0.04584784526377916,0.08017723774537444,12.910308182239532,0.1969625959172845,1.0,1.0,0.0,0.0
0.6,16,16,0.6233482137322426,9.539973898116775e-05,0.02334830374456942,0.025300522916950285,0.030848234542645514,0.020165625144727528,1.0389136299490929,1.0,0.03858956112526357,0.06489136070013046,20.524390816688538,0.20863893907517195,1.0,1.0,0.0,0.0
0.8,16,16,0.8297226913273335,7.765946994406178e-05,0.029722646344453096,0.03230496309697628,0.03884677332825959,0.02501063037198037,1.0371533185243607,1.0,0.038938680198043585,0.05415683309547603,32.51230072975159,0.24829653836786747,1.0,1.0,0.0,0.0
1.0,16,16,1.0342315509915352,2.356109187664082e-05,0.034231643192470074,0.03709152992814779,0.0445823532063514,0.028563657659105957,1.0342315509915352,1.0,0.04217286827042699,0.04529091576114297,50.548133850097656,0.30970144644379616,1.0,1.0,0.0,0.0
1.2,16,16,1.2318629547953606,0.00017963534240843628,0.031862770672887564,0.035718465223908424,0.04375626123510301,0.029980833758600056,1.0265524163842201,1.0,0.05198943801224232,0.046159549383446574,73.72560739517212,0.3792379293590784,1.0,1.0,0.0,0.0
1.4,16,16,1.4291680976748466,0.00022419160355046595,0.029167991946451366,0.0346076104324311,0.04238718724809587,0.03074829129036516,1.0208343714475632,0.9997499957680702,0.06570279970765114,0.051432651467621326,102.63167667388916,0.45504466257989407,1.0,1.0,0.0,0.0
1.6,16,16,1.613924689590931,0.00016521532670245493,0.013924645318184048,0.028326095547527075,0.03393024345859885,0.03093381563667208,1.008702889084816,0.9820000007748604,0.0728930695913732,0.06652000034227967,135.14848709106445,0.5306202061474323,1.0,1.0,0.0,0.0
1.8,16,16,1.7989201843738556,0.000681675095596706,-0.001079746210734811,0.026116137159988284,0.03130386886186898,0.031259852345101535,0.9994001239538193,0.938333336263895,0.0752379116602242,0.09596389438956976,171.89094066619873,0.6054753921926022,1.0,1.0,0.0,0.0
2.0,16,16,1.9950253516435623,0.0009698555407979637,-0.004974518911694759,0.026746162679046392,0.032277053222060204,0.031833511078730226,0.9975126758217812,0.81533332914114,0.07133085746318102,0.12902682833373547,215.5058994293213,0.6844886802136898,1.0,1.0,0.0,0.0
2.2,16,16,2.1886308044195175,0.0023568846599574195,-0.011369769956218079,0.026159350061789155,0.03184988512657583,0.029405399225652218,0.9948321543633938,0.6490000039339066,0.0697910487651825,0.16597880609333515,262.4644584655762,0.7598929405212402,0.0,1.0,0.0,0.0
2.4,16,16,2.366159901022911,0.0016736962100467776,-0.03383991098962724,0.0399901089258492,0.04770251736044884,0.03357211360707879,0.9858999252319336,0.46233333088457584,0.04620052617974579,0.22137730661779642,309.8315258026123,0.8297300189733505,0.0,1.0,0.0,0.0
